"bin","f  "
659,6.88000E-04
660,6.89000E-04
661,6.90000E-04
662,6.91000E-04
663,6.92000E-04
664,6.93000E-04
665,6.94000E-04
666,6.95000E-04
667,6.96000E-04
668,6.97000E-04
669,6.98000E-04
670,6.99000E-04
671,7.00000E-04
672,7.01000E-04
673,7.02000E-04
674,7.03000E-04
675,7.04000E-04
676,7.05000E-04
677,7.06000E-04
678,7.07000E-04
679,7.08000E-04
680,7.09000E-04
681,7.10000E-04
682,7.11000E-04
683,7.12000E-04
684,7.13000E-04
685,7.14000E-04
686,7.15000E-04
687,7.16000E-04
688,7.17000E-04
689,7.18000E-04
690,7.19000E-04
691,7.20000E-04
692,7.21000E-04
693,7.22000E-04
694,7.23000E-04
695,7.24000E-04
696,7.25000E-04
697,7.26000E-04
698,7.27000E-04
699,7.28000E-04
700,7.29000E-04
701,7.30000E-04
702,7.31000E-04
703,7.32000E-04
704,7.33000E-04
705,7.34000E-04
706,7.35000E-04
707,7.36000E-04
708,7.37000E-04
709,7.38000E-04
710,7.39000E-04
711,7.40000E-04
712,7.41000E-04
713,7.42000E-04
714,7.43000E-04
715,7.44000E-04
716,7.45000E-04
717,7.46000E-04
718,7.47000E-04
719,7.48000E-04
720,7.49000E-04
721,7.50000E-04
722,7.51000E-04
723,7.52000E-04
724,7.53000E-04
725,7.54000E-04
726,7.55000E-04
727,7.56000E-04
728,7.57000E-04
729,7.58000E-04
730,7.59000E-04
731,7.60000E-04
732,7.61000E-04
733,7.62000E-04
734,7.63000E-04
735,7.64000E-04
736,7.65000E-04
737,7.66000E-04
738,7.67000E-04
739,7.68000E-04
740,7.69000E-04
741,7.70000E-04
742,7.71000E-04
743,7.72000E-04
744,7.73000E-04
745,7.74000E-04
746,7.75000E-04
747,7.76000E-04
748,7.77000E-04
749,7.78000E-04
750,7.79000E-04
751,7.80000E-04
752,7.81000E-04
753,7.82000E-04
754,7.83000E-04
755,7.84000E-04
756,7.85000E-04
757,7.86000E-04
758,7.87000E-04
759,7.88000E-04
760,7.89000E-04
761,7.90000E-04
762,7.91000E-04
763,7.92000E-04
764,7.93000E-04
765,7.94000E-04
766,7.95000E-04
767,7.96000E-04
768,7.97000E-04
769,7.98000E-04
770,7.99000E-04
771,8.00000E-04
772,8.01000E-04
773,8.02000E-04
774,8.03000E-04
775,8.04000E-04
776,8.05000E-04
777,8.06000E-04
778,8.07000E-04
779,8.08000E-04
780,8.09000E-04
781,8.10000E-04
782,8.11000E-04
783,8.12000E-04
784,8.13000E-04
785,8.14000E-04
786,8.15000E-04
787,8.16000E-04
788,8.17000E-04
789,8.18000E-04
790,8.19000E-04
791,8.20000E-04
792,8.21000E-04
793,8.22000E-04
794,8.23000E-04
795,8.24000E-04
796,8.25000E-04
797,8.26000E-04
798,8.27000E-04
799,8.28000E-04
800,8.29000E-04
801,8.30000E-04
802,8.31000E-04
803,8.32000E-04
804,8.33000E-04
805,8.34000E-04
806,8.35000E-04
807,8.36000E-04
808,8.37000E-04
809,8.38000E-04
810,8.39000E-04
811,8.40000E-04
812,8.41000E-04
813,8.42000E-04
814,8.43000E-04
815,8.44000E-04
816,8.45000E-04
817,8.46000E-04
818,8.47000E-04
819,8.48000E-04
820,8.49000E-04
821,8.50000E-04
822,8.51000E-04
823,8.52000E-04
824,8.53000E-04
825,8.54000E-04
826,8.55000E-04
827,8.56000E-04
828,8.57000E-04
829,8.58000E-04
830,8.59000E-04
831,8.60000E-04
832,8.61000E-04
833,8.62000E-04
834,8.63000E-04
835,8.64000E-04
836,8.65000E-04
837,8.66000E-04
838,8.67000E-04
839,8.68000E-04
840,8.69000E-04
841,8.70000E-04
842,8.71000E-04
843,8.72000E-04
844,8.73000E-04
845,8.74000E-04
846,8.75000E-04
847,8.76000E-04
848,8.77000E-04
849,8.78000E-04
850,8.79000E-04
851,8.80000E-04
852,8.81000E-04
853,8.82000E-04
854,8.83000E-04
855,8.84000E-04
856,8.85000E-04
857,8.86000E-04
858,8.87000E-04
859,8.88000E-04
860,8.89000E-04
861,8.90000E-04
862,8.91000E-04
863,8.92000E-04
864,8.93000E-04
865,8.94000E-04
866,8.95000E-04
867,8.96000E-04
868,8.97000E-04
869,8.98000E-04
870,8.99000E-04
871,9.00000E-04
872,9.01000E-04
873,9.02000E-04
874,9.03000E-04
875,9.04000E-04
876,9.05000E-04
877,9.06000E-04
878,9.07000E-04
879,9.08000E-04
880,9.09000E-04
881,9.10000E-04
882,9.11000E-04
883,9.12000E-04
884,9.13000E-04
885,9.14000E-04
886,9.15000E-04
887,9.16000E-04
888,9.17000E-04
889,9.18000E-04
890,9.19000E-04
891,9.20000E-04
892,9.21000E-04
893,9.22000E-04
894,9.23000E-04
895,9.24000E-04
896,9.25000E-04
897,9.26000E-04
898,9.27000E-04
899,9.28000E-04
900,9.29000E-04
901,9.30000E-04
902,9.31000E-04
903,9.32000E-04
904,9.33000E-04
905,9.34000E-04
906,9.35000E-04
907,9.36000E-04
908,9.37000E-04
909,9.38000E-04
910,9.39000E-04
911,9.40000E-04
912,9.41000E-04
913,9.42000E-04
914,9.43000E-04
915,9.44000E-04
916,9.45000E-04
917,9.46000E-04
918,9.47000E-04
919,9.48000E-04
920,9.49000E-04
921,9.50000E-04
922,9.51000E-04
923,9.52000E-04
924,9.53000E-04
925,9.54000E-04
926,9.55000E-04
927,9.56000E-04
928,9.57000E-04
929,9.58000E-04
930,9.59000E-04
931,9.60000E-04
932,9.61000E-04
933,9.62000E-04
934,9.63000E-04
935,9.64000E-04
936,9.65000E-04
937,9.66000E-04
938,9.67000E-04
939,9.68000E-04
940,9.69000E-04
941,9.70000E-04
942,9.71000E-04
943,9.72000E-04
944,9.73000E-04
945,9.74000E-04
946,9.75000E-04
947,9.76000E-04
948,9.77000E-04
949,9.78000E-04
950,9.79000E-04
951,9.80000E-04
952,9.81000E-04
953,9.82000E-04
954,9.83000E-04
955,9.84000E-04
956,9.85000E-04
957,9.86000E-04
958,9.87000E-04
959,9.88000E-04
960,9.89000E-04
961,9.90000E-04
962,9.91000E-04
963,9.92000E-04
964,9.93000E-04
965,9.94000E-04
966,9.95000E-04
967,9.96000E-04
968,9.97000E-04
969,9.98000E-04
970,9.99000E-04
971,1.00334E-03
972,1.00968E-03
973,1.01529E-03
974,1.02216E-03
975,1.02863E-03
976,1.03428E-03
977,1.04100E-03
978,1.04737E-03
979,1.05377E-03
980,1.06096E-03
981,1.06770E-03
982,1.07396E-03
983,1.08093E-03
984,1.08733E-03
985,1.09437E-03
986,1.10091E-03
987,1.10806E-03
988,1.11525E-03
989,1.12209E-03
990,1.12876E-03
991,1.13582E-03
992,1.14265E-03
993,1.15019E-03
994,1.15671E-03
995,1.16480E-03
996,1.17200E-03
997,1.17931E-03
998,1.18683E-03
999,1.19378E-03
1000,1.20096E-03
1001,1.20869E-03
1002,1.21632E-03
1003,1.22405E-03
1004,1.23135E-03
1005,1.23920E-03
1006,1.24647E-03
1007,1.25452E-03
1008,1.26250E-03
1009,1.27072E-03
1010,1.27858E-03
1011,1.28664E-03
1012,1.29494E-03
1013,1.30233E-03
1014,1.31061E-03
1015,1.31894E-03
1016,1.32636E-03
1017,1.33462E-03
1018,1.34382E-03
1019,1.35188E-03
1020,1.36021E-03
